time,HeartRate,Difficulty,Level
213.003,85,0.1964137,easy
214.0037,86,0.1438225,easy
215.0032,86,0.1438225,easy
216.0062,87,0.09123132,easy
217.0015,87,0.09123132,easy
218.0019,87,0.09123132,easy
219.0046,87,0.09123132,easy
220.0023,87,0.09123132,easy
221.003,86,0.1438225,easy
222.0038,86,0.1438225,easy
223.0045,86,0.1438225,easy
224.0018,86,0.1438225,easy
225.0038,86,0.1438225,easy
226.0005,86,0.1438225,easy
227.004,86,0.1438225,easy
228.0004,86,0.1438225,easy
229.0042,86,0.1438225,easy
230.0013,85,0.1964137,easy
